Event,Latitude,Longitude,State
Kate Reed,-41.47567,147.13804,
Anstey Hill Recreation,-34.82589,138.72805,
Maria Creek Reserve,-36.82741,139.85091,
Albert Melbourne,-37.84352,144.96312,
Port Augusta,-32.4874,137.76472,
The Beaches,-32.94629,151.76007,
Christies Beach,-35.13563,138.46916,
Parkindula Reserve,-35.09071,138.86767,
Whyalla Foreshore,-33.0406,137.5859,
Jamestown Golf Course,-33.22855,138.56196,
Nantu Wama,-34.90518,138.60067,
Myponga Reservoir,-35.39466,138.45239,
Aldinga Beach,-35.28777,138.44498,
Port Broughton,-33.59873,137.92961,
Studley,-37.80083,145.00886,
Blackbutt,-32.93253,151.69976,
Lochiel,-34.88082,138.64925,
Reynella East,-35.08875,138.55863,
Zeehan Golf Club,-41.88989,145.32268,
Newy,-32.91457,151.76144,
Stebonheath,-34.67629,138.66393,
Pakapakanthi,-34.92891,138.61758,
Kirkdale Reserve,-37.77051,144.98386,
Strathalbyn,-35.25868,138.89303,
Burswood Peninsula,-31.95306,115.88756,
Balyang Sanctuary,-38.16646,144.33118,
Largs Bay,-34.82583,138.48565,
Gawler,-34.59084,138.75003,
Victor Harbor,-35.56566,138.6111,
Meningie,-35.68627,139.33844,
Port Lincoln,-34.7208,135.86061,
The Avenues,-35.20925,138.70934,
Patawalonga River,-34.9636,138.51612,
Mawson Lakes,-34.81134,138.61673,
Lake Mac,-32.9726,151.61249,
Oaklands Estate Reserve,-34.99948,138.54807,
Carisbrooke,-34.75463,138.67776,
Naracoorte Lake,-36.94941,140.74184,
Pirrama,-33.8654,151.19186,
Edithburgh,-35.08072,137.74718,
Renmark,-34.17425,140.75124,
Bright,-36.7438,146.978,
Moana,-35.19785,138.47091,
Mount Barker,-35.06966,138.86787,
Waikerie Wetlands,-34.17439,139.98045,
Coober Pedy Oval,-29.01847,134.75457,
Jubilee Way,-34.8061,138.69439,
Queens Domain,-42.86382,147.31775,
Belair National Park,-35.01162,138.63634,
Burley Griffin,-35.29215,149.08859,
Jindabyne,-36.41565,148.62588,
Lillydale Lake,-37.76622,145.35707,
Yeldulknie Weir Trail,-33.70206,136.50305,
The Terrace,-32.7616,151.73894,
Kangaroo Island,-35.65585,137.64047,
Narooma Wetlands,-35.12956,139.29306,
Hamilton,-37.73759,142.04002,
Shiraz Trail,-35.21767,138.54761,
South Para Reservoir,-34.68383,138.87799,
Murray Bridge,-35.12157,139.28556,
Mount Gambier,-37.84289,140.77785,
Forster,-32.18017,152.51955,
Umbagong District,-35.21892,149.02053,
Drage Reserve,-34.88719,138.64086,
Rosebud,-38.35422,144.90529,
Clare Valley,-33.86634,138.62501,
Memorial Park,-33.17962,138.00557,
Nuriootpa,-34.46669,139.00695,
Goolwa,-35.49939,138.78945,
Inverloch,-38.63952,145.71963,
North Sydney,-33.8304,151.21177,
Copper Trail,-33.95397,137.66738,
Seacliff Esplanade,-35.03568,138.51667,
West Beach,-34.93922,138.49964,
Torrens,-34.91755,138.58744,
Cleland,-34.96419,138.6986,
"Charleston, South Australia",-34.91684,138.90316,
